#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2020-03-24-00-39-41
#fields	
#types	
ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	version	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	tags	username	password	proxied	orig_fuids	orig_filenames	orig_mime_types	resp_fuids	resp_filenames	resp_mime_types
time	string	addr	port	addr	port	count	string	string	string	string	string	string	count	count	count	string	count	string	set[enum]	string	string	set[string]	vector[string]	vector[string]	vector[string]	vector[string]	vector[string]	vector[string]
1258397190.602696	Cuuv6d3a6EYSOxz37i	192.168.1.102	2720	140.211.166.134	80	1	GET	updateext.services.openoffice.org	/ProductUpdateService/check.Update	-	1.1	OpenOffice.org 3.1 (310m19(Build:9420); Windows; x86; BundledLanguages=en-US)	0	362059	200	OK	-	-	(empty)	-	-	-	-	-	-	FDvaDH18gI4NWJqpMh	-	text/atom
1258397191.519125	Cuuv6d3a6EYSOxz37i	192.168.1.102	2720	140.211.166.134	80	2	PROPFIND	updateext.services.openoffice.org	/ProductUpdateService/check.Update	-	1.1	OpenOffice.org 3.1 (310m19(Build:9420); Windows; x86; BundledLanguages=en-US)	207	342	405	Method Not Allowed	-	-	(empty)	-	-	-	FVTDb2r5K9FW403F7	-	application/xml	FatLKC3fokh54ppIK	-	text/html
1258397191.761469	C10GT91SWmH7oCDne8	192.168.1.102	2721	140.211.166.134	80	1	GET	updateext.services.openoffice.org	/ProductUpdateService/check.Update	-	1.1	OpenOffice.org 3.1 (310m19(Build:9420); Windows; x86; BundledLanguages=en-US)	0	362059	200	OK	-	-	(empty)	-	-	-	-	-	-	FsvDmE3AmHrSlWc5G7	-	text/atom
1258397192.615186	C10GT91SWmH7oCDne8	192.168.1.102	2721	140.211.166.134	80	2	PROPFIND	updateext.services.openoffice.org	/ProductUpdateService/check.Update	-	1.1	OpenOffice.org 3.1 (310m19(Build:9420); Windows; x86; BundledLanguages=en-US)	207	342	405	Method Not Allowed	-	-	(empty)	-	-	-	F7ArS5109IxGciWsv2	-	application/xml	FzcLrE3L3v6CnCd24h	-	text/html
1258397208.587158	CTwPoD3nnqycDe8Lm1	192.168.1.102	2722	208.97.187.203	80	1	POST	mailboxes.m57.biz	/?	http://mailboxes.m57.biz/?current_step=Index&next_step=MainPage	1.1	Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5	77	8763	200	OK	-	-	(empty)	-	-	-	F1FylG1OobKlvNyG2l	-	text/plain	FZZMyP1eR3dEtmCKi9	-	text/html
1258397269.287046	CtC7NsNo6mLHltdG9	192.168.1.102	2723	74.125.164.82	80	1	GET	safebrowsing-cache.google.com	/safebrowsing/rd/goog-malware-shavar_s_16801-16960.16801-16850.16851-16960:	-	1.1	Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5	0	96110	200	OK	-	-	(empty)	-	-	-	-	-	-	Fx8MWq4Ir6MuivY8If	-	text/plain
1258397334.923843	CD9G4L3If03w9K1fa6	192.168.1.103	2612	38.103.37.243	80	1	POST	mmi.explabs.net	/or/e.aspx	-	1.1	-	86	249	200	OK	-	-	(empty)	-	-	-	F6FzeH35NOF0JWLZJi	-	text/plain	F4egNB3ON4MOxizgp	-	text/plain
1258397336.168559	CnQAPY1GINfBkoAyN1	192.168.1.103	2613	38.103.37.243	80	1	POST	prev.explabs.net	/sspost3.aspx	-	1.1	-	3335	1	200	OK	100	Continue	(empty)	-	-	-	FL2UDn4EmNqa20jzR	-	text/plain	FZo5fX3jSBFQ6EZ1Pc	-	-
1258397338.537819	C3fYur3EciChtCF0c5	192.168.1.102	2734	199.7.51.72	80	1	POST	ocsp.verisign.com	/	-	1.0	Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5	115	1427	200	Ok	-	-	(empty)	-	-	-	Fx3DoW3sJf4hCDlMNb	-	application/ocsp-request	FYR9rX1Vmlij0bhQX8	-	application/ocsp-response
1258397339.028013	CCmJhl4gap2JDo1pee	192.168.1.102	2736	199.7.51.72	80	1	POST	ocsp.verisign.com	/	-	1.0	Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5	115	1427	200	Ok	-	-	(empty)	-	-	-	FAGKIXAfqdW0fQMbb	-	application/ocsp-request	FH03yO1n8MRrqLrEk6	-	application/ocsp-response
1258397349.688321	CCy98x6tuHBxlkj9k	192.168.1.102	2737	74.125.164.82	80	1	GET	safebrowsing-cache.google.com	/safebrowsing/rd/goog-malware-shavar_a_15921-16000.15921,15923-15954,15956-15995,15997-16000.:	-	1.1	Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5	0	182201	200	OK	-	-	(empty)	-	-	-	-	-	-	FTutNm3WQ4aDQKYdY2	-	text/plain
1258397350.607493	CMjJxD1zUNxzCpHUTa	192.168.1.103	2614	151.207.243.129	80	1	GET	www.uspto.gov	/web/offices/com/annual/2008/oai_05_wlt_18.html	http://www.uspto.gov/web/offices/com/annual/2008/oai_05_wlt_00.html	1.1	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	16284	200	OK	-	-	(empty)	-	-	-	-	-	-	FC1FSN3IbmhJTeOY97	-	text/html
1258397351.038221	CCy98x6tuHBxlkj9k	192.168.1.102	2737	74.125.164.82	80	2	GET	safebrowsing-cache.google.com	/safebrowsing/rd/goog-malware-shavar_a_16001-16160.16001-16007.16008-16160:	-	1.1	Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5	0	18296	200	OK	-	-	(empty)	-	-	-	-	-	-	FTmY4F2mo3TrAIyR67	-	text/plain
